#;Time;RL points;Agent name;Learning type;Won Episode;Episode time [s];Interest in enemy [%]
312;28.12.2021 01:00:13;-105,7982;Jack;Self play;Fail;251;99%
313;28.12.2021 01:00:32;-93,82244;Madox;Self play;Fail;103;98%
314;28.12.2021 01:00:32;-57,62332;Jack;Self play;Win;103;100%
315;28.12.2021 01:00:55;-63,75065;Madox;Self play;Fail;126;73%
316;28.12.2021 01:00:55;-36,15162;Jack;Self play;Win;126;73%
317;28.12.2021 01:01:48;-114,2561;Madox;Self play;Draw;299;100%
318;28.12.2021 01:01:48;-72,55749;Jack;Self play;Draw;299;100%
319;28.12.2021 01:02:01;-48,38619;Madox;Self play;Fail;72;96%
320;28.12.2021 01:02:01;-37,08654;Jack;Self play;Win;72;96%
321;28.12.2021 01:02:18;-33,71372;Madox;Self play;Fail;94;78%
322;28.12.2021 01:02:18;-55,81299;Jack;Self play;Win;94;78%
323;28.12.2021 01:02:47;-73,69389;Madox;Self play;Win;162;100%
324;28.12.2021 01:02:47;-47,89441;Jack;Self play;Fail;162;100%
325;28.12.2021 01:03:39;-109,0564;Madox;Self play;Draw;299;100%
326;28.12.2021 01:03:39;-95,65657;Jack;Self play;Draw;299;100%
327;28.12.2021 01:04:01;-76,0418;Madox;Self play;Win;118;71%
328;28.12.2021 01:04:01;-51,64212;Jack;Self play;Fail;118;71%
329;28.12.2021 01:04:58;-67,25735;Madox;Self play;Draw;299;100%
330;28.12.2021 01:04:58;-119,156;Jack;Self play;Draw;299;100%
331;28.12.2021 01:05:51;-93,15689;Madox;Self play;Draw;300;99%
332;28.12.2021 01:05:51;-87,95723;Jack;Self play;Draw;300;99%
333;28.12.2021 01:06:07;-56,70185;Madox;Self play;Win;85;96%
334;28.12.2021 01:06:07;-47,10221;Jack;Self play;Fail;85;96%
335;28.12.2021 01:06:28;-51,5392;Madox;Self play;Win;116;100%
336;28.12.2021 01:06:28;-45,83921;Jack;Self play;Fail;116;100%
337;28.12.2021 01:07:22;-70,55725;Madox;Self play;Draw;299;100%
338;28.12.2021 01:07:22;-102,0563;Jack;Self play;Draw;299;100%
339;28.12.2021 01:08:15;-81,65754;Madox;Self play;Draw;300;85%
340;28.12.2021 01:08:15;-70,45774;Jack;Self play;Draw;300;24%
341;28.12.2021 01:09:09;-80,85794;Madox;Self play;Draw;300;100%
342;28.12.2021 01:09:09;-108,2573;Jack;Self play;Draw;300;99%
343;28.12.2021 01:09:37;-54,79403;Madox;Self play;Win;162;100%
344;28.12.2021 01:09:37;-75,59337;Jack;Self play;Fail;162;100%
