#;Time;RL points;Agent name;Learning type;Won episode;Episode iterations;Episode time [s];Interest in enemy [%]
282;12.01.2022 05:09:48;-17,40037;Jack;Self play;Win;1;115;94%
283;12.01.2022 05:10:32;-40,74125;Madox;Self play;Win;2;374;96%
284;12.01.2022 05:10:32;-58,80892;Jack;Self play;Fail;2;374;32%
285;12.01.2022 05:10:38;-6,480133;Madox;Self play;Win;1;55;91%
286;12.01.2022 05:10:38;-17,41515;Jack;Self play;Fail;1;55;91%
287;12.01.2022 05:11:01;-29,50062;Madox;Self play;Win;1;197;59%
288;12.01.2022 05:11:01;-39,89877;Jack;Self play;Fail;1;197;62%
289;12.01.2022 05:11:06;-13,0286;Madox;Self play;Fail;1;42;100%
290;12.01.2022 05:11:06;-8,65525;Jack;Self play;Win;1;42;100%
291;12.01.2022 05:11:26;-42,98491;Madox;Self play;Fail;1;170;45%
292;12.01.2022 05:11:26;-27,05548;Jack;Self play;Win;1;170;45%
293;12.01.2022 05:11:30;-10,48009;Madox;Self play;Fail;1;28;100%
294;12.01.2022 05:11:30;-2,421992;Jack;Self play;Win;1;28;100%
295;12.01.2022 05:11:44;-17,93351;Madox;Self play;Win;1;122;100%
296;12.01.2022 05:11:44;-22,09508;Jack;Self play;Fail;1;122;100%
297;12.01.2022 05:11:58;-29,93034;Madox;Self play;Fail;1;115;100%
298;12.01.2022 05:11:58;-27,18618;Jack;Self play;Win;1;115;100%
299;12.01.2022 05:12:43;-74,84691;Madox;Self play;Fail;2;381;21%
300;12.01.2022 05:12:43;-60,77628;Jack;Self play;Win;2;381;21%
301;12.01.2022 05:12:56;-29,08279;Madox;Self play;Fail;1;111;100%
302;12.01.2022 05:12:56;-14,91619;Jack;Self play;Win;1;111;100%
303;12.01.2022 05:13:04;-20,94026;Madox;Self play;Fail;1;65;100%
304;12.01.2022 05:13:04;-17,76537;Jack;Self play;Win;1;65;100%
305;12.01.2022 05:13:14;-17,94072;Madox;Self play;Win;1;81;96%
306;12.01.2022 05:13:14;-22,90026;Jack;Self play;Fail;1;81;100%
307;12.01.2022 05:13:25;-12,40531;Madox;Self play;Win;1;101;96%
308;12.01.2022 05:13:25;-27,38532;Jack;Self play;Fail;1;101;100%
309;12.01.2022 05:13:34;-14,25987;Madox;Self play;Win;1;75;95%
310;12.01.2022 05:13:34;-23,87255;Jack;Self play;Fail;1;75;95%
311;12.01.2022 05:13:48;-6,130041;Madox;Self play;Win;1;115;49%
312;12.01.2022 05:13:48;-31,06565;Jack;Self play;Fail;1;115;100%
313;12.01.2022 05:14:20;-31,97282;Madox;Self play;Win;1;215;45%
314;12.01.2022 05:14:20;-40,00741;Jack;Self play;Fail;1;215;89%
315;12.01.2022 05:14:46;-44,95432;Madox;Self play;Fail;1;222;28%
316;12.01.2022 05:14:46;-33,91712;Jack;Self play;Win;1;222;28%
